Date,Open,High,Low,Close,Adj Close,Volume,Label
2/24/2017,20751.91016,20821.75977,20733.94922,20821.75977,20821.75977,292540000,1
2/23/2017,20817.21094,20840.69922,20746.41016,20810.32031,20810.32031,302110000,0
2/22/2017,20715.41016,20781.58984,20692.39063,20775.59961,20775.59961,310530000,1
2/21/2017,20663.42969,20757.64063,20663.36914,20743,20743,336880000,1
2/17/2017,20564.13086,20624.05078,20532.60938,20624.05078,20624.05078,340620000,1
2/16/2017,20627.31055,20639.86914,20556.83008,20619.76953,20619.76953,354120000,0
2/15/2017,20504.26953,20620.44922,20496.0293,20611.85938,20611.85938,384380000,1
2/14/2017,20374.2207,20504.41016,20374.01953,20504.41016,20504.41016,356580000,1
2/13/2017,20338.53906,20441.48047,20322.94922,20412.16016,20412.16016,314620000,1
2/10/2017,20211.23047,20298.21094,20204.75977,20269.36914,20269.36914,312230000,1
2/9/2017,20061.73047,20206.35938,20061.73047,20172.40039,20172.40039,325310000,1
2/8/2017,20049.28906,20068.2793,20015.33008,20054.33984,20054.33984,280410000,1
2/7/2017,20107.61914,20155.34961,20068.67969,20090.28906,20090.28906,279670000,0
2/6/2017,20025.60938,20094.94922,20002.81055,20052.41992,20052.41992,281720000,1
2/3/2017,19964.21094,20081.48047,19964.21094,20071.46094,20071.46094,344220000,1
2/2/2017,19858.33984,19922.75,19831.08984,19884.91016,19884.91016,347220000,1
2/1/2017,19923.81055,19967.73047,19845.99023,19890.93945,19890.93945,426670000,0
1/31/2017,19913.16016,19918.16992,19784.76953,19864.08984,19864.08984,373750000,0
1/30/2017,20028.61914,20028.61914,19870.39063,19971.13086,19971.13086,317280000,0
1/27/2017,20103.35938,20115.9707,20072.64063,20093.7793,20093.7793,343130000,0
1/26/2017,20076.25,20125.58008,20067.5293,20100.91016,20100.91016,356730000,1
1/25/2017,19994.48047,20082,19994.48047,20068.50977,20068.50977,372240000,1
1/24/2017,19794.67969,19949.24023,19786.71094,19912.71094,19912.71094,374460000,1
1/23/2017,19794.78906,19833.98047,19732.35938,19799.84961,19799.84961,326690000,1
